販売年,品名,産地,数量（Kg）,金額（円）,平均単価（円/Kg）
2000,冷凍まぐろ,宮城,"833","1,656,355","1,988"
2000,冷凍まぐろ,東京,"6,720","17,208,624","2,561"
2000,冷凍まぐろ,神奈川,"32,548","123,239,063","3,786"
2000,冷凍まぐろ,新潟,9,"12,285","1,365"
2000,冷凍まぐろ,石川,"26,318","70,896,581","2,694"
2000,冷凍まぐろ,静岡,"225,668","606,692,600","2,688"
2000,冷凍まぐろ,愛知,265,"1,397,214","5,273"
2000,冷凍まぐろ,大阪,85,"260,348","3,063"
2000,冷凍まぐろ,高知,"3,444","2,767,244",803
2000,冷凍かじき,東京,"13,423","6,906,756",515
2000,冷凍かじき,神奈川,"142,295","92,584,913",651
2000,冷凍かじき,新潟,"1,748","1,000,965",573
2000,冷凍かじき,富山,375,"153,563",410
2000,冷凍かじき,石川,"62,756","55,152,108",879
2000,冷凍かじき,静岡,"989,239","642,235,240",649
2000,冷凍かじき,大阪,"5,680","4,563,616",803
2000,冷凍さけ,北海道,"107,394","45,503,991",424
2000,冷凍さけ,青森,"29,572","12,411,294",420
2000,冷凍さけ,岩手,800,"235,200",294
2000,冷凍さけ,宮城,"7,103","4,904,767",691
2000,冷凍さけ,茨城,8,"11,340","1,418"
2000,冷凍さけ,千葉,"34,487","13,599,428",394
2000,冷凍さけ,東京,"524,209","341,474,484",651
2000,冷凍さけ,石川,"172,370","94,043,079",546
2000,冷凍さけ,福井,"4,807","6,501,733","1,353"
2000,冷凍さけ,愛知,"346,118","226,699,394",655
2000,冷凍さけ,三重,"166,038","115,584,681",696
2000,冷凍さけ,京都,51,"82,110","1,610"
2000,冷凍さけ,大阪,"185,183","116,737,577",630
2000,冷凍さけ,兵庫,"1,307","911,125",697
2000,冷凍さけ,長崎,750,"73,500",98
2000,冷凍あじ,茨城,14,"14,490","1,035"
2000,冷凍あじ,千葉,"183,680","35,414,978",193
2000,冷凍あじ,東京,"51,754","11,532,424",223
2000,冷凍あじ,富山,"481,493","26,713,663",55
2000,冷凍あじ,石川,"1,313,800","153,920,118",117
2000,冷凍あじ,愛知,"85,305","18,287,043",214
2000,冷凍あじ,三重,"58,728","14,170,612",241
2000,冷凍あじ,大阪,"44,847","7,716,786",172
2000,冷凍あじ,兵庫,"1,520","515,025",339
2000,冷凍あじ,和歌山,"96,916","14,821,964",153
2000,冷凍あじ,鳥取,87,"9,030",104
2000,冷凍あじ,山口,625,"1,459,185","2,335"
2000,冷凍あじ,福岡,49,"83,318","1,700"
2000,冷凍あじ,鹿児島,"4,185","1,237,987",296
2000,冷凍さば,北海道,"3,250","1,228,395",378
2000,冷凍さば,青森,"80,275","24,352,712",303
2000,冷凍さば,岩手,200,"29,400",147
2000,冷凍さば,千葉,"59,285","16,002,594",270
2000,冷凍さば,東京,"199,245","48,624,970",244
2000,冷凍さば,石川,"1,641,242","122,074,331",74
2000,冷凍さば,福井,130,"57,960",446
2000,冷凍さば,愛知,"167,154","34,201,852",205
2000,冷凍さば,大阪,"148,115","50,766,343",343
2000,冷凍さば,鳥取,980,"110,250",113
2000,冷凍さば,福岡,990,"208,950",211
2000,冷凍さんま,北海道,"11,058","2,906,820",263
2000,冷凍さんま,岩手,"1,003","322,035",321
2000,冷凍さんま,宮城,"14,232","3,444,736",242
2000,冷凍さんま,石川,"2,883","992,198",344
2000,冷凍さんま,愛知,40,"5,250",131
2000,冷凍かれい,北海道,"760,053","243,055,506",320
2000,冷凍かれい,宮城,"108,779","64,428,166",592
2000,冷凍かれい,福島,518,"236,505",457
2000,冷凍かれい,千葉,"1,320","452,340",343
2000,冷凍かれい,東京,"327,238","154,060,453",471
2000,冷凍かれい,石川,"235,849","64,752,385",275
2000,冷凍かれい,愛知,"148,668","58,710,383",395
2000,冷凍かれい,三重,"16,880","5,336,090",316
2000,冷凍かれい,大阪,"16,048","6,388,275",398
2000,冷凍かれい,兵庫,"40,622","13,036,260",321
2000,冷凍かれい,島根,432,"113,715",263
2000,冷凍かれい,山口,"9,641","2,393,134",248
2000,冷凍かれい,高知,151,"86,831",575
2000,冷凍かれい,佐賀,24,"13,860",578
2000,冷凍ほっけ,北海道,"18,580","5,950,093",320
2000,冷凍ほっけ,宮城,"182,644","38,943,690",213
2000,冷凍ほっけ,茨城,"4,639","3,689,249",795
2000,冷凍ほっけ,千葉,25,"24,707",988
2000,冷凍ほっけ,石川,"35,586","12,601,412",354
2000,冷凍ほっけ,愛知,"9,160","3,180,713",347
2000,冷凍たい,北海道,"15,460","6,760,163",437
2000,冷凍たい,宮城,"11,523","2,651,842",230
2000,冷凍たい,茨城,590,"456,540",774
2000,冷凍たい,東京,"119,646","53,116,771",444
2000,冷凍たい,神奈川,10,"1,050",105
2000,冷凍たい,富山,"6,467","2,093,207",324
2000,冷凍たい,石川,"78,615","28,096,532",357
2000,冷凍たい,福井,"11,338","3,401,034",300
2000,冷凍たい,静岡,"8,917","6,924,574",777
2000,冷凍たい,愛知,"20,718","15,946,314",770
2000,冷凍たい,三重,"10,359","4,882,755",471
2000,冷凍たい,大阪,"37,173","13,777,734",371
2000,冷凍たい,兵庫,93,"154,560","1,662"
2000,冷凍たい,島根,309,"127,785",414
2000,冷凍たい,愛媛,"9,808","3,588,434",366
2000,冷凍たい,高知,41,"39,463",963
2000,冷凍たい,長崎,"2,640","7,707,000","2,919"
2000,冷凍たい,鹿児島,47,"61,425","1,307"
2000,冷凍にしん,宮城,269,"73,501",273
2000,冷凍にしん,東京,"27,819","9,429,495",339
2000,冷凍にしん,愛知,"21,948","6,858,475",312
2000,冷凍にしん,大阪,"10,104","1,959,314",194
2000,冷凍たら,北海道,"27,148","10,023,983",369
2000,冷凍たら,岩手,10,"3,675",368
2000,冷凍たら,宮城,"446,550","251,203,884",563
2000,冷凍たら,東京,"111,339","39,023,524",350
2000,冷凍たら,富山,"7,288","1,844,105",253
2000,冷凍たら,石川,"11,395","4,192,789",368
2000,冷凍たら,福井,"6,368","2,340,240",368
2000,冷凍たら,愛知,"44,252","20,549,688",464
2000,冷凍たら,三重,113,"190,596","1,687"
2000,冷凍たら,京都,"2,267","845,187",373
2000,冷凍たら,大阪,"42,551","23,150,296",544
2000,冷凍ぎんだら,北海道,"25,850","33,489,391","1,296"
2000,冷凍ぎんだら,青森,"14,354","19,516,031","1,360"
2000,冷凍ぎんだら,東京,"17,101","21,818,015","1,276"
2000,冷凍ぎんだら,石川,"9,962","13,881,457","1,393"
2000,冷凍ぎんだら,福井,120,"175,091","1,459"
2000,冷凍ぎんだら,愛知,"119,388","147,721,425","1,237"
2000,冷凍ぎんだら,三重,"7,033","7,822,021","1,112"
2000,冷凍ぎんだら,岡山,"3,765","4,496,200","1,194"
2000,冷凍おひょう,北海道,367,"314,108",856
2000,冷凍おひょう,宮城,"22,706","20,414,676",899
2000,冷凍おひょう,東京,27,"54,810","2,030"
2000,冷凍おひょう,石川,257,"231,079",899
2000,冷凍おひょう,愛知,844,"802,641",951
2000,冷凍おひょう,三重,225,"233,375","1,037"
2000,冷凍しらうお,茨城,"2,408","2,511,600","1,043"
2000,冷凍しらうお,石川,180,"197,400","1,097"
2000,冷凍しらうお,兵庫,"7,019","7,930,545","1,130"
2000,冷凍するめいか,北海道,"5,098","660,471",130
2000,冷凍するめいか,青森,"213,754","51,175,713",239
2000,冷凍するめいか,岩手,417,"116,760",280
2000,冷凍するめいか,千葉,"11,512","3,645,758",317
2000,冷凍するめいか,東京,"36,569","8,830,891",241
2000,冷凍するめいか,石川,"1,115,151","229,545,054",206
2000,冷凍するめいか,福井,"8,522","4,170,915",489
2000,冷凍するめいか,愛知,"21,975","7,725,094",352
2000,冷凍するめいか,滋賀,10,525,53
2000,冷凍するめいか,大阪,"100,783","55,755,021",553
2000,冷凍するめいか,徳島,"27,200","73,457,597","2,701"
2000,冷凍するめいか,福岡,"11,492","13,276,842","1,155"
