販売年,品名,産地,数量（Kg）,金額（円）,平均単価（円/Kg）
2000,塩さけ,北海道,"560,948","330,107,094",588
2000,塩さけ,青森,"22,838","12,268,046",537
2000,塩さけ,岩手,"56,671","41,324,825",729
2000,塩さけ,宮城,"64,283","38,993,848",607
2000,塩さけ,茨城,4,"10,143","2,536"
2000,塩さけ,千葉,"323,954","232,785,411",719
2000,塩さけ,東京,"93,011","52,551,186",565
2000,塩さけ,新潟,"4,746","1,443,956",304
2000,塩さけ,富山,"15,272","4,046,556",265
2000,塩さけ,石川,"53,917","45,798,080",849
2000,塩さけ,愛知,"42,499","32,995,137",776
2000,塩さけ,三重,"23,216","22,923,323",987
2000,塩さけ,滋賀,574,"2,082,258","3,628"
2000,塩さけ,大阪,"3,803","2,714,248",714
2000,塩さけ,兵庫,"15,864","10,133,847",639
2000,塩さけ,広島,15,"10,553",704
2000,塩さば,北海道,980,"404,880",413
2000,塩さば,青森,"72,517","51,943,926",716
2000,塩さば,岩手,"34,189","14,566,768",426
2000,塩さば,宮城,"23,207","8,286,885",357
2000,塩さば,茨城,"1,713","1,080,245",631
2000,塩さば,千葉,"399,222","173,243,791",434
2000,塩さば,東京,"6,250","1,956,570",313
2000,塩さば,富山,32,"17,010",532
2000,塩さば,石川,"10,602","6,850,674",646
2000,塩さば,福井,56,"98,385","1,757"
2000,塩さば,静岡,"23,215","17,736,576",764
2000,塩さば,愛知,"6,715","2,747,190",409
2000,塩さば,三重,"1,326","625,191",471
2000,塩さば,兵庫,"1,182","952,245",806
2000,塩さば,和歌山,"5,318","3,729,012",701
2000,塩さば,鳥取,419,"302,505",722
2000,塩さば,島根,"5,746","5,044,662",878
2000,塩さば,山口,"16,239","7,385,459",455
2000,塩ます,北海道,"494,282","154,040,259",312
2000,塩ます,宮城,"7,063","2,313,750",328
2000,塩ます,茨城,193,"161,314",836
2000,塩ます,千葉,326,"146,475",449
2000,塩ます,東京,"11,163","3,734,346",335
2000,塩ます,石川,"28,557","12,952,183",454
2000,塩ます,三重,"31,707","14,364,526",453
2000,塩ます,兵庫,160,"122,220",764
2000,塩くらげ,東京,571,"235,998",413
2000,塩くらげ,神奈川,197,"153,972",782
2000,塩くらげ,石川,504,"539,175","1,070"
2000,塩くらげ,三重,"4,168","1,801,853",432
2000,塩くらげ,大阪,"2,695","2,898,852","1,076"
2000,塩くらげ,兵庫,969,"1,170,792","1,208"
2000,しおから,北海道,"30,488","19,611,094",643
2000,しおから,青森,"5,695","2,556,394",449
2000,しおから,岩手,5,"6,048","1,210"
2000,しおから,宮城,"24,840","28,653,932","1,154"
2000,しおから,埼玉,36,"30,240",840
2000,しおから,千葉,551,"524,412",952
2000,しおから,東京,"3,853","2,138,833",555
2000,しおから,神奈川,"10,538","11,810,835","1,121"
2000,しおから,新潟,"1,606","2,424,268","1,510"
2000,しおから,富山,"17,844","23,069,500","1,293"
2000,しおから,石川,"1,587","1,779,299","1,121"
2000,しおから,静岡,"10,661","9,367,000",879
2000,しおから,愛知,203,"198,629",978
2000,しおから,三重,"1,764","1,926,918","1,092"
2000,しおから,京都,20,"14,700",735
2000,しおから,大阪,158,"141,477",895
2000,しおから,兵庫,338,"341,747","1,011"
2000,しおから,島根,90,"84,630",940
2000,しおから,福岡,301,"231,431",769
2000,塩だら,北海道,"6,396","3,326,149",520
2000,塩だら,宮城,"13,972","5,579,933",399
2000,塩だら,富山,"3,584","1,836,772",512
2000,塩だら,愛知,47,"26,250",559
2000,塩だら,兵庫,395,"309,862",784
2000,塩かれい,北海道,"40,661","10,077,185",248
2000,塩かれい,茨城,"1,346","717,959",533
2000,塩かれい,神奈川,149,"94,017",631
2000,塩かれい,富山,"4,231","3,023,990",715
2000,塩かれい,石川,"28,450","41,122,558","1,445"
2000,塩かれい,福井,"43,476","27,212,497",626
2000,塩かれい,静岡,"1,000","1,291,500","1,292"
2000,塩かれい,愛知,119,"78,278",658
2000,塩かれい,三重,"18,895","14,358,354",760
2000,塩かれい,京都,120,"338,625","2,822"
2000,塩かれい,兵庫,"192,771","130,826,466",679
2000,塩かれい,鳥取,"94,147","61,145,649",649
2000,塩かれい,島根,"44,221","65,166,274","1,474"
2000,塩するめ,北海道,119,"215,040","1,807"
2000,塩するめ,青森,"2,067","1,751,201",847
2000,塩するめ,岩手,4,"8,820","2,205"
2000,塩するめ,新潟,30,"76,230","2,541"
2000,塩するめ,富山,"29,747","29,352,176",987
2000,塩するめ,石川,"5,510","5,431,703",986
2000,塩するめ,福井,739,"1,060,500","1,435"
2000,塩するめ,兵庫,55,"94,080","1,711"
2000,塩するめ,広島,70,"136,500","1,950"
2000,すき身,北海道,125,"155,925","1,247"
2000,すき身,宮城,"5,773","3,012,451",522
2000,すき身,富山,"1,852","1,566,343",846
2000,すき身,石川,72,"68,040",945
2000,すき身,福井,"74,316","55,613,829",748
2000,開きたら,北海道,"19,445","29,896,662","1,537"
2000,開きたら,青森,"2,467","1,110,607",450
2000,開きたら,岩手,"8,873","5,574,987",628
2000,開きたら,宮城,709,"428,474",604
2000,開きたら,石川,"1,289","2,352,693","1,825"
2000,開きたら,福井,"1,813","804,930",444
2000,開きたら,兵庫,280,"227,850",814
2000,開きたら,山口,10,"2,100",210
2000,開きあじ,宮城,10,"9,576",958
2000,開きあじ,茨城,"32,127","19,255,949",599
2000,開きあじ,千葉,"18,545","13,404,615",723
2000,開きあじ,東京,"3,069","1,120,917",365
2000,開きあじ,神奈川,714,"725,520","1,016"
2000,開きあじ,富山,"14,660","8,157,924",556
2000,開きあじ,石川,"7,740","3,574,526",462
2000,開きあじ,静岡,"146,576","112,248,014",766
2000,開きあじ,三重,"13,305","7,517,000",565
2000,開きあじ,京都,4,"4,621","1,155"
2000,開きあじ,兵庫,"6,488","4,115,431",634
2000,開きあじ,鳥取,703,"254,847",363
2000,開きあじ,島根,317,"107,100",338
2000,開きあじ,山口,"3,550","2,198,887",619
2000,開きあじ,佐賀,"8,577","5,412,000",631
2000,開きあじ,宮崎,2,"1,260",630
2000,開きさば,茨城,"2,278","1,608,873",706
2000,開きさば,千葉,115,"50,211",437
2000,開きさば,石川,74,"62,814",849
2000,開きさば,岐阜,55,"38,556",701
2000,開きさば,大阪,20,"24,150","1,208"
2000,開きさば,兵庫,"1,798","2,051,417","1,141"
2000,開きさば,鳥取,877,"301,897",344
2000,開きさば,島根,"5,286","5,131,182",971
2000,干ふぐ,東京,"2,460","3,893,400","1,583"
2000,干ふぐ,新潟,50,"75,765","1,515"
2000,干ふぐ,富山,669,"916,860","1,370"
2000,干ふぐ,石川,"6,041","9,902,645","1,639"
2000,干ふぐ,福井,159,"247,065","1,554"
2000,干ふぐ,愛知,6,"3,150",525
2000,干ふぐ,滋賀,4,"29,400","7,350"
2000,干ふぐ,島根,473,"757,176","1,601"
2000,干ふぐ,山口,"26,039","23,352,235",897
2000,干ふぐ,福岡,"49,957","49,697,891",995
2000,干ふぐ,長崎,"31,993","81,208,000","2,538"
2000,丸干いわし,岩手,42,"18,900",450
2000,丸干いわし,茨城,84,"35,280",420
2000,丸干いわし,千葉,"41,083","14,126,660",344
2000,丸干いわし,東京,"4,158","3,630,626",873
2000,丸干いわし,富山,"5,655","6,102,686","1,079"
2000,丸干いわし,石川,"1,686","1,360,275",807
2000,丸干いわし,静岡,205,"592,521","2,890"
2000,丸干いわし,愛知,"4,107","7,270,663","1,770"
2000,丸干いわし,三重,"5,686","3,336,606",587
2000,丸干いわし,京都,100,"97,125",971
2000,丸干いわし,大阪,"2,732","3,787,728","1,386"
2000,丸干いわし,和歌山,"1,206","3,204,705","2,657"
2000,丸干いわし,鳥取,"6,398","3,514,627",549
2000,丸干いわし,島根,"77,106","51,201,428",664
2000,丸干いわし,広島,40,"67,200","1,680"
2000,丸干いわし,山口,"15,725","20,828,221","1,325"
2000,丸干いわし,高知,"1,814","2,483,880","1,369"
2000,丸干いわし,長崎,"9,249","13,761,510","1,488"
2000,丸干いわし,宮崎,"4,175","4,536,266","1,087"
2000,丸干いわし,鹿児島,"3,300","4,895,457","1,483"
2000,丸干あじ,岩手,4,"6,300","1,575"
2000,丸干あじ,千葉,186,"137,950",742
2000,丸干あじ,静岡,121,"179,907","1,487"
2000,丸干あじ,愛知,394,"164,808",418
2000,丸干あじ,兵庫,378,"188,276",498
2000,丸干あじ,和歌山,28,"19,320",690
2000,丸干あじ,鳥取,644,"220,660",343
2000,丸干あじ,島根,"3,017","1,481,214",491
2000,丸干あじ,宮崎,2,"1,050",525
2000,丸干あじ,鹿児島,108,"59,588",552
2000,干はたはた,北海道,6,"9,135","1,523"
2000,干はたはた,茨城,22,"37,800","1,718"
2000,干はたはた,石川,"9,923","6,984,548",704
2000,干はたはた,愛知,204,"61,740",303
2000,干はたはた,兵庫,"70,208","73,081,636","1,041"
2000,干はたはた,島根,"5,882","4,223,931",718
2000,丸干いか,北海道,"2,131","2,205,014","1,035"
2000,丸干いか,青森,"3,567","2,459,205",689
2000,丸干いか,岩手,"2,664","2,047,207",768
2000,丸干いか,千葉,238,"312,900","1,315"
2000,丸干いか,新潟,"5,689","4,274,290",751
2000,丸干いか,富山,"3,225","3,337,205","1,035"
2000,丸干いか,石川,"18,458","20,277,286","1,099"
2000,丸干いか,福井,"19,705","31,187,033","1,583"
2000,丸干いか,島根,634,"636,720","1,004"
2000,煮干いわし,岩手,9,"24,098","2,678"
2000,煮干いわし,茨城,20,"37,800","1,890"
2000,煮干いわし,千葉,"1,968","2,192,747","1,114"
2000,煮干いわし,東京,"25,265","27,521,351","1,089"
2000,煮干いわし,神奈川,"15,341","17,558,520","1,145"
2000,煮干いわし,富山,"1,252","1,731,034","1,383"
2000,煮干いわし,石川,920,"1,156,418","1,257"
2000,煮干いわし,福井,114,"81,377",714
2000,煮干いわし,静岡,138,"128,100",928
2000,煮干いわし,愛知,"2,989","3,746,193","1,253"
2000,煮干いわし,三重,256,"172,279",673
2000,煮干いわし,京都,160,"181,440","1,134"
2000,煮干いわし,大阪,"1,071","1,134,799","1,060"
2000,煮干いわし,兵庫,"1,286","1,196,108",930
2000,煮干いわし,島根,"2,896","4,012,679","1,386"
2000,煮干いわし,広島,453,"479,668","1,059"
2000,煮干いわし,山口,"3,279","3,395,865","1,036"
2000,煮干いわし,愛媛,931,"648,879",697
2000,煮干いわし,長崎,"4,277","4,058,527",949
2000,たいはくちりめん,福島,147,"159,285","1,084"
2000,たいはくちりめん,茨城,"35,876","47,544,138","1,325"
2000,たいはくちりめん,千葉,"2,184","3,207,844","1,469"
2000,たいはくちりめん,東京,"26,065","24,518,763",941
2000,たいはくちりめん,石川,"2,895","3,405,910","1,176"
2000,たいはくちりめん,福井,199,"211,680","1,064"
2000,たいはくちりめん,静岡,"17,902","19,877,382","1,110"
2000,たいはくちりめん,愛知,"6,584","6,456,411",981
2000,たいはくちりめん,三重,169,"86,520",512
2000,たいはくちりめん,大阪,"7,624","9,991,696","1,311"
2000,たいはくちりめん,兵庫,"7,339","8,494,344","1,157"
2000,たいはくちりめん,和歌山,"8,788","7,135,402",812
2000,たいはくちりめん,広島,"5,254","4,623,733",880
2000,たいはくちりめん,山口,594,"665,805","1,121"
2000,たいはくちりめん,徳島,873,"843,990",967
2000,たいはくちりめん,香川,420,"233,730",557
2000,たいはくちりめん,愛媛,"1,618","1,617,872","1,000"
2000,たいはくちりめん,福岡,"8,647","11,104,065","1,284"
